person_id,tracking_trail_points,start_point,end_point
315,"[(479.7227783203125, 540.9909057617188), (472.173828125, 539.4008178710938), (468.644775390625, 539.609375), (466.3678894042969, 539.7391967773438), (465.35418701171875, 540.3012084960938), (465.130126953125, 540.3138427734375), (465.365966796875, 540.6795043945312), (464.94183349609375, 540.9217529296875), (465.3915710449219, 541.687744140625), (466.0893249511719, 541.6207885742188), (468.6630859375, 541.7586059570312), (470.226806640625, 545.1349487304688), (471.92547607421875, 542.80029296875), (471.58203125, 542.01025390625), (465.11407470703125, 542.2059936523438), (463.08697509765625, 543.8757934570312), (461.2037353515625, 544.2559204101562), (464.80389404296875, 543.7687377929688), (465.07574462890625, 544.0375366210938)]","(479.7227783203125, 540.9909057617188)","(465.07574462890625, 544.0375366210938)"
317,"[(1765.149169921875, 81.5308837890625), (1765.045166015625, 81.24418640136719), (1758.03125, 77.6490249633789), (1755.493896484375, 75.57891845703125), (1754.343505859375, 73.71852111816406), (1753.9229736328125, 73.2921142578125), (1753.0499267578125, 71.32228088378906), (1750.799072265625, 67.34281158447266), (1749.343017578125, 65.3982162475586), (1746.981201171875, 63.40288162231445), (1744.025146484375, 62.85822296142578), (1742.840087890625, 62.32895278930664), (1740.9388427734375, 61.30789566040039), (1742.003662109375, 60.34395980834961), (1741.994873046875, 60.33495330810547), (1741.878662109375, 60.07744216918945), (1740.7596435546875, 59.2708740234375), (1738.452392578125, 57.511253356933594), (1734.460205078125, 56.053985595703125), (1730.0732421875, 55.0433349609375), (1727.28173828125, 53.75138473510742), (1726.196044921875, 52.78348922729492), (1724.3056640625, 52.92095184326172), (1724.016357421875, 51.52060317993164), (1722.5772705078125, 50.71957015991211), (1721.999267578125, 50.1893424987793), (1720.63623046875, 50.70365524291992), (1718.97119140625, 51.086002349853516), (1717.9393310546875, 50.98501968383789), (1717.33203125, 50.616676330566406)]","(1765.149169921875, 81.5308837890625)","(1717.33203125, 50.616676330566406)"
321,"[(44.019081115722656, 717.8798828125), (44.49542999267578, 718.295166015625), (45.215545654296875, 720.205810546875), (47.01387405395508, 721.4669799804688), (51.903480529785156, 722.075439453125), (57.57481384277344, 724.187255859375), (63.18553161621094, 728.413330078125), (72.10963439941406, 733.27294921875), (75.9762191772461, 737.7993774414062), (78.70710754394531, 741.11669921875), (80.89849853515625, 744.0985717773438), (81.97802734375, 746.740234375), (84.328857421875, 748.8804931640625), (86.12644958496094, 749.5342407226562), (88.14698028564453, 750.1552124023438), (89.40074157714844, 750.7625732421875), (91.07911682128906, 752.3779907226562), (95.01118469238281, 755.767822265625), (97.59341430664062, 761.0252685546875), (100.76126098632812, 766.8626708984375), (105.46540832519531, 772.5034790039062), (108.85264587402344, 777.28955078125), (111.9560775756836, 781.550537109375), (114.24666595458984, 785.19384765625), (115.91755676269531, 787.83203125), (117.38311767578125, 790.666748046875), (119.30055236816406, 792.5599975585938), (120.86581420898438, 794.9876708984375), (122.21025085449219, 796.6124877929688), (123.84522247314453, 797.6583862304688)]","(44.019081115722656, 717.8798828125)","(123.84522247314453, 797.6583862304688)"
322,"[(446.5667419433594, 545.1248168945312), (448.0130310058594, 543.1234130859375), (448.2916259765625, 542.704345703125), (448.4274597167969, 542.3756713867188), (447.9961853027344, 542.4810180664062), (446.2090759277344, 542.84765625), (445.10723876953125, 542.4591674804688), (443.6230773925781, 543.0944213867188), (442.441650390625, 541.5260620117188), (442.6581115722656, 533.6090087890625)]","(446.5667419433594, 545.1248168945312)","(442.6581115722656, 533.6090087890625)"
323,"[(437.9266662597656, 554.0613403320312), (439.6603698730469, 553.0596923828125), (438.5293273925781, 551.944091796875), (436.139892578125, 551.563232421875), (433.71807861328125, 554.0346069335938), (433.078369140625, 554.4795532226562), (433.96875, 554.6209716796875), (435.6402282714844, 555.04052734375), (436.645751953125, 555.1677856445312), (437.3501892089844, 554.6405029296875), (433.00653076171875, 555.9056396484375), (433.4503479003906, 556.8618774414062), (437.01300048828125, 552.9517822265625), (428.31939697265625, 555.603515625), (425.52947998046875, 557.2332153320312), (426.5093994140625, 557.9557495117188), (424.2109375, 561.1090698242188), (424.3783264160156, 563.2122802734375), (424.80914306640625, 565.2841186523438), (426.4210205078125, 565.7587280273438), (427.22265625, 564.7269897460938), (427.41058349609375, 566.2440185546875), (426.9324951171875, 566.4105224609375), (431.4193115234375, 556.9644775390625), (430.8092956542969, 555.796142578125)]","(437.9266662597656, 554.0613403320312)","(430.8092956542969, 555.796142578125)"
330,"[(1481.492919921875, 998.0689086914062), (1481.140869140625, 994.793212890625), (1479.67529296875, 990.0811767578125), (1478.2080078125, 987.1126708984375), (1477.3997802734375, 984.7022705078125), (1476.685302734375, 983.185546875), (1476.729248046875, 980.5338134765625), (1476.4697265625, 974.9232177734375), (1477.0426025390625, 971.5498046875), (1476.780517578125, 967.221435546875), (1477.1845703125, 957.379150390625), (1476.9573974609375, 950.773193359375), (1476.479736328125, 939.7196044921875), (1476.461669921875, 929.2978515625), (1476.829345703125, 921.5969848632812), (1476.9700927734375, 915.51416015625), (1477.468505859375, 911.4415893554688), (1474.9471435546875, 905.857421875), (1473.5791015625, 900.9970703125), (1473.157470703125, 897.9066772460938), (1471.731689453125, 892.9466552734375), (1470.1517333984375, 887.7576904296875), (1467.69482421875, 877.3939208984375), (1466.1632080078125, 870.439208984375), (1464.14892578125, 864.5604248046875), (1463.5244140625, 859.9822998046875), (1462.98291015625, 855.7652587890625), (1461.702880859375, 849.169677734375), (1460.8280029296875, 846.061767578125), (1460.06103515625, 841.49169921875)]","(1481.492919921875, 998.0689086914062)","(1460.06103515625, 841.49169921875)"
331,"[(1162.3870849609375, 831.8519287109375), (1160.854248046875, 833.0458984375), (1150.865966796875, 829.4825439453125), (1093.61572265625, 759.3308715820312), (1093.041748046875, 756.9935302734375), (1094.920166015625, 756.644775390625), (1093.6417236328125, 755.9532470703125), (1090.392822265625, 752.8428955078125), (1089.443359375, 750.3460693359375), (1086.2939453125, 748.1915893554688), (1083.406005859375, 743.957763671875), (1081.59716796875, 740.248779296875), (1077.939697265625, 731.542724609375), (1074.3134765625, 722.452392578125), (1070.627197265625, 714.772216796875), (1064.707275390625, 708.8763427734375), (1059.262451171875, 704.4820556640625), (1054.55224609375, 701.769287109375), (1046.473388671875, 700.1188354492188), (1045.174072265625, 699.1822509765625), (1044.5679931640625, 697.8934326171875), (1043.1954345703125, 696.109375), (1038.370849609375, 691.4609375), (1035.967041015625, 687.601806640625), (1033.632568359375, 683.797607421875), (1030.31884765625, 679.9619140625), (1025.883056640625, 672.8826904296875), (1024.3328857421875, 663.426025390625), (1023.2349853515625, 657.6077880859375), (1020.6319580078125, 654.5303344726562)]","(1162.3870849609375, 831.8519287109375)","(1020.6319580078125, 654.5303344726562)"
348,"[(1879.912841796875, 204.76950073242188), (1878.16162109375, 203.15509033203125), (1877.22802734375, 200.22525024414062), (1875.439208984375, 197.87156677246094), (1870.9796142578125, 194.63807678222656), (1868.934814453125, 191.82022094726562), (1868.4794921875, 188.81350708007812), (1864.959228515625, 182.37229919433594), (1860.1976318359375, 178.46160888671875), (1855.265380859375, 173.90696716308594), (1853.75341796875, 175.4597930908203), (1848.6602783203125, 176.24612426757812), (1845.1588134765625, 175.65899658203125), (1842.76171875, 174.60125732421875), (1841.75341796875, 172.5609588623047), (1841.514404296875, 171.4429473876953), (1840.28076171875, 168.24183654785156), (1838.3804931640625, 163.02780151367188), (1837.460205078125, 158.92282104492188), (1836.8043212890625, 155.3948516845703), (1835.39013671875, 153.09217834472656), (1834.5062255859375, 150.947021484375), (1831.9775390625, 149.83226013183594), (1830.6712646484375, 149.88613891601562), (1827.851806640625, 151.46661376953125), (1824.963623046875, 148.53721618652344), (1823.3447265625, 147.7096405029297), (1821.1361083984375, 142.8957061767578), (1820.33984375, 138.2831268310547), (1821.17626953125, 135.30352783203125)]","(1879.912841796875, 204.76950073242188)","(1821.17626953125, 135.30352783203125)"
360,"[(1702.000244140625, 115.2667465209961), (1701.8602294921875, 114.26882934570312), (1697.598876953125, 108.92012023925781), (1695.046142578125, 103.58893585205078), (1690.8787841796875, 101.55496215820312), (1688.97021484375, 99.3565902709961), (1687.756591796875, 98.44554138183594), (1682.248291015625, 98.23758697509766), (1679.9248046875, 98.58518981933594), (1676.9617919921875, 98.6407699584961), (1670.219482421875, 98.37775421142578), (1667.8450927734375, 97.7640380859375), (1664.337158203125, 96.82118225097656), (1661.884765625, 94.96499633789062), (1661.697998046875, 93.10547637939453), (1660.76513671875, 90.36538696289062), (1658.8909912109375, 88.07731628417969), (1655.010009765625, 83.96321868896484), (1652.491455078125, 84.35861206054688), (1649.955078125, 84.44137573242188), (1645.161376953125, 83.0408706665039), (1642.669677734375, 81.18975830078125), (1639.738037109375, 78.78507995605469), (1636.834716796875, 77.97810363769531), (1634.3050537109375, 78.64336395263672), (1632.567626953125, 77.6842041015625), (1632.008544921875, 77.24456787109375), (1629.2412109375, 74.65300750732422), (1626.1083984375, 72.06282806396484), (1623.271240234375, 70.12626647949219)]","(1702.000244140625, 115.2667465209961)","(1623.271240234375, 70.12626647949219)"
369,"[(443.0569152832031, 541.3387451171875), (443.36016845703125, 542.603271484375), (442.8857116699219, 543.1882934570312), (443.89630126953125, 542.83740234375), (444.193359375, 542.1452026367188), (444.0722351074219, 542.2938232421875), (446.6104736328125, 543.5577392578125), (445.3143310546875, 546.70166015625), (447.48406982421875, 544.3473510742188), (448.06011962890625, 543.3572387695312), (445.8408203125, 545.0409545898438), (446.9776611328125, 541.2261962890625), (446.7721862792969, 542.8173217773438), (445.9122314453125, 539.3232421875), (447.94720458984375, 539.91015625), (448.197265625, 536.553466796875), (446.427978515625, 536.9840087890625), (446.6193542480469, 533.913330078125), (448.8169250488281, 533.31103515625), (448.9459228515625, 530.945556640625), (448.06622314453125, 528.5370483398438), (449.880126953125, 527.7222900390625), (448.85791015625, 529.7975463867188), (448.5013427734375, 529.3814697265625), (447.349853515625, 528.538818359375), (446.1260986328125, 528.1563720703125), (445.6168212890625, 527.684326171875), (445.808349609375, 527.41455078125), (446.19012451171875, 527.2091064453125)]","(443.0569152832031, 541.3387451171875)","(446.19012451171875, 527.2091064453125)"
373,"[(998.3978881835938, 92.67131805419922), (1000.31494140625, 93.8006362915039), (1002.2362060546875, 95.58728790283203), (1004.0109252929688, 95.72134399414062), (1005.2816162109375, 98.50643920898438), (1005.6234741210938, 101.27584075927734), (1006.3771362304688, 102.77656555175781), (1008.095458984375, 104.10348510742188), (1008.9583740234375, 103.91353607177734), (1010.2586669921875, 102.5439682006836), (1010.413818359375, 101.95829010009766), (1010.978515625, 101.9432144165039), (1011.6964721679688, 102.44344329833984), (1013.1810302734375, 104.8329086303711), (1014.0103759765625, 105.39805603027344), (1015.0153198242188, 106.6046142578125), (1016.389892578125, 107.45622253417969), (1017.5202026367188, 108.00234985351562), (1019.117919921875, 108.23429870605469), (1020.5963134765625, 108.58027648925781), (1022.28662109375, 109.02397155761719), (1023.5875244140625, 109.9071044921875), (1025.745849609375, 110.90752410888672), (1028.425048828125, 112.49615478515625), (1029.585205078125, 113.56364440917969), (1030.586181640625, 114.84740447998047)]","(998.3978881835938, 92.67131805419922)","(1030.586181640625, 114.84740447998047)"
374,"[(1471.5811767578125, 1058.1209716796875), (1471.58544921875, 1055.35205078125), (1470.068603515625, 1052.6680908203125), (1468.66259765625, 1047.416015625), (1463.690185546875, 1043.0419921875), (1459.35009765625, 1040.141357421875), (1457.839599609375, 1038.03076171875), (1457.190185546875, 1035.565185546875), (1455.08642578125, 1029.927490234375), (1454.68115234375, 1024.68017578125), (1454.5789794921875, 1022.1357421875), (1452.89208984375, 1019.9840087890625), (1452.6220703125, 1017.4542846679688), (1451.281982421875, 1012.1712646484375), (1452.030029296875, 1008.2747802734375), (1451.3525390625, 1005.0499877929688), (1449.8076171875, 1003.0511474609375), (1445.312744140625, 1000.5110473632812), (1441.391357421875, 995.978515625), (1439.002685546875, 993.1990966796875), (1436.498291015625, 991.8549194335938)]","(1471.5811767578125, 1058.1209716796875)","(1436.498291015625, 991.8549194335938)"
377,"[(1200.4593505859375, 1065.5941162109375), (1198.71484375, 1063.904541015625)]","(1200.4593505859375, 1065.5941162109375)","(1198.71484375, 1063.904541015625)"
381,"[(1061.3963623046875, 718.241943359375), (1059.6634521484375, 712.6748657226562)]","(1061.3963623046875, 718.241943359375)","(1059.6634521484375, 712.6748657226562)"
384,"[(1193.453369140625, 1052.873779296875), (1191.75927734375, 1050.7841796875), (1189.474365234375, 1048.160888671875), (1186.876220703125, 1042.2506103515625), (1185.6995849609375, 1038.1087646484375), (1185.37939453125, 1034.5050048828125), (1184.9541015625, 1030.7772216796875), (1185.2021484375, 1027.90478515625), (1184.133056640625, 1023.1009521484375), (1183.3671875, 1019.5100708007812), (1182.1549072265625, 1016.86767578125), (1181.7947998046875, 1014.312744140625), (1181.5792236328125, 1012.4403076171875), (1180.593017578125, 1008.7042846679688), (1180.18505859375, 1006.5579833984375), (1180.192138671875, 1003.6724853515625)]","(1193.453369140625, 1052.873779296875)","(1180.192138671875, 1003.6724853515625)"
385,"[(650.9030151367188, 19.64495277404785), (650.7030029296875, 20.8138484954834), (650.4954833984375, 21.75811004638672), (650.0357055664062, 23.023468017578125), (649.9909057617188, 24.01630210876465), (650.0227661132812, 24.646467208862305), (649.8844604492188, 24.729862213134766), (649.710205078125, 24.603172302246094), (650.2182006835938, 24.452373504638672), (650.828369140625, 24.177091598510742), (651.2542724609375, 24.133512496948242), (651.0716552734375, 24.752580642700195), (650.90380859375, 26.088422775268555), (649.8756103515625, 28.015079498291016), (646.6405029296875, 29.145845413208008), (645.545166015625, 30.50343894958496)]","(650.9030151367188, 19.64495277404785)","(645.545166015625, 30.50343894958496)"
386,"[(1901.316650390625, 412.9907531738281), (1901.9971923828125, 415.46600341796875), (1902.778076171875, 414.5881652832031), (1902.936279296875, 409.3206481933594), (1902.503173828125, 402.9144287109375), (1902.38134765625, 395.94464111328125), (1899.68408203125, 387.77569580078125), (1895.979736328125, 382.63336181640625), (1895.9140625, 381.9351806640625), (1891.0172119140625, 381.0798645019531), (1888.0751953125, 369.55712890625), (1885.995849609375, 362.0455322265625), (1884.89990234375, 356.3802490234375), (1884.339111328125, 352.9486083984375)]","(1901.316650390625, 412.9907531738281)","(1884.339111328125, 352.9486083984375)"
